,B24_NAME,RM_ID,P26_RA,P26_DEC,B24_R500,z,LAMBDA_CHISQ,LAMBDA_CHISQ_ERR,B24_KT,B24_KT_L,B24_KT_H,B24_L500_0520,B24_L500_L_0520,B24_L500_H_0520,P26_T_ero,P26_T_ero_lo_err,P26_T_ero_hi_err,P26_L_0.5-2_ero,P26_L_0.5-2_ero_lo_err,P26_L_0.5-2_ero_hi_err,P26_L_0.1-10_ero,P26_L_0.1-10_ero_lo_err,P26_L_0.1-10_ero_hi_err,P26_T_xmm,P26_T_xmm_lo_err,P26_T_xmm_hi_err,P26_L_0.5-2_xmm,P26_L_0.5-2_xmm_lo_err,P26_L_0.5-2_xmm_hi_err,P26_L_0.1-10_xmm,P26_L_0.1-10_xmm_lo_err,P26_L_0.1-10_xmm_hi_err
0,1eRASS J000559.2-344311,98.0,1.5,-34.73,1213.0,0.12,103.0,4.453872,-1.0,2.63,-1.0,123.663,114.215,133.047,7.418820501,2.88672854,9.508078399000002,1.1868925850000002e+44,8.511214111650909e+42,8.901295829525679e+42,4.019552507000001e+44,1.3511245493599392e+44,6.390252247269688e+43,7.05636955,0.1936089020000002,0.1930235699999993,1.614738082e+44,1.33078252748387e+42,1.7468881837844198e+42,5.4189368819999995e+44,6.609810662550921e+42,4.7458652345848096e+42
1,1eRASS J001318.5-490651,403.0,3.34,-49.13,1247.0,0.42,91.0,5.2101593,2.26,1.78,3.56,380.21,330.394,432.564,2.105900442,0.3310141559999997,0.688119242,4.690038519e+44,4.4577793979747237e+43,3.5447821695711105e+43,9.658229338e+44,1.2669910052630478e+44,1.5187038039648444e+44,8.50734028,1.594289376999999,2.179230780000001,4.389455006000001e+44,2.480307575817257e+43,2.319155985578284e+43,1.556772312e+45,1.1906628282645052e+44,1.0246651499007783e+44
2,1eRASS J004049.8-440743,19.0,10.21,-44.13,1250.0,0.36,143.0,3.7483463,6.02,3.14,13.58,316.747,283.674,358.648,56.25231156,49.671108308,-56.25231156,2.598053724e+44,2.598053724e+44,1.6956614630269183e+44,1.2405273439999998e+45,1.2405273439913635e+45,8.697011785447628e+44,7.532617832,0.2421647629999999,0.2424783140000004,1.889337878e+44,1.0342952845137092e+43,9.175167726170872e+42,6.4566820820000004e+44,4.4452754363062114e+43,2.885346627000423e+43
3,1eRASS J004104.1-442841,41.0,10.25,-44.49,1204.0,0.35,126.0,5.0090547,-1.0,2.92,-1.0,258.684,216.373,310.532,2.026782016,0.4412872339999998,0.9420334920000002,2.1031531850000003e+44,2.70224215050396e+43,4.695116447661586e+43,4.276220918e+44,7.140456415441611e+43,9.772780396939152e+43,4.465714263,0.1654325939999994,0.1632006810000001,3.1470790750000006e+44,4.240348564410832e+42,4.56485352767377e+42,9.016087269e+44,1.6353311336977802e+43,1.3872923240742372e+43
4,1eRASS J004207.0-283154,252.0,10.54,-28.54,1258.0,0.11,74.0,2.985724,3.89,3.03,6.08,166.982,159.373,174.866,3.867661149,0.691007124,0.8683990650000002,1.6583349400000003e+44,6.063389188916031e+42,4.3041749689220897e+42,4.46050535e+44,3.8516234138338076e+43,3.995972159114085e+43,4.477060355,0.064408201,0.0643840359999998,2.2413334180000003e+44,1.11016096235575e+42,1.1820574446732301e+42,6.42690676e+44,3.57335886152289e+42,4.9688215301075996e+42
5,1eRASS J004922.3-293108,428.0,12.35,-29.52,1078.0,0.11,61.0,2.851985,-1.0,3.23,-1.0,69.253,64.307,74.316,5.198716629,1.5269930099999995,3.2507401,7.307183805000001e+43,4.7135638109323604e+42,3.599205284675531e+42,2.199823508e+44,3.9271601707882936e+43,3.0286845109037924e+43,4.388649525,0.1618749580000003,0.1381972290000002,9.541343957e+43,9.936256343437699e+41,1.09464591734853e+42,2.7171685710000004e+44,4.0777802319712404e+42,4.3818826608053504e+42
6,1eRASS J010029.8-474920,3927.0,15.13,-47.82,860.0,0.42,42.0,2.9322848,-1.0,2.17,-1.0,95.73,69.899,126.966,24.00853966,22.694308168,-24.00853966,4.233751216000001e+43,4.233751216000001e+43,6.688558919765868e+43,1.8207754020000003e+44,1.8207754020000003e+44,3.935049762233896e+44,2.1643109,0.0903524959999999,0.1091440980000002,6.502614847000001e+43,3.934553490395161e+42,3.7688586655870906e+42,1.4092678550000002e+44,9.3918777607588e+42,8.577191486301911e+42
7,1eRASS J011444.3-412337,1057.0,18.68,-41.4,1235.0,0.38,75.0,4.360306,2.07,1.65,4.06,333.789,288.974,384.149,0.5260468018,0.1205340168999999,0.1523446344,2.22476094e+44,5.3530247855846e+43,2.7869681939595186e+43,3.081043291e+44,5.89234980614517e+43,2.892096050607559e+43,6.080249566,0.3393224129999996,0.3424978550000004,3.4526803180000004e+44,6.320774179325371e+42,7.963797759280759e+42,1.10275096e+45,3.0186732053862456e+43,1.9931465113887641e+43
8,1eRASS J011811.2-265805,222.0,19.55,-26.97,1290.0,0.23,102.0,6.119663,3.76,2.89,9.74,251.165,232.84,271.625,5.440935353,1.3791984940000006,2.450957571,2.8936489629999997e+44,1.63538131801419e+43,1.0998177117467512e+43,8.832415785999999e+44,1.3282827074285627e+44,1.0448163616522324e+44,6.226660716,0.1799492489999998,0.1800686680000005,3.608591785000001e+44,3.9692668368460803e+42,2.87251287609945e+42,1.161095359e+45,1.1908795938886239e+43,1.5996006908617221e+43
9,1eRASS J013341.2-643405,223.0,23.37,-64.57,1253.0,0.32,111.0,6.9014244,7.04,3.92,19.91,282.965,260.359,310.771,7.210035168,2.5304340520000004,8.409385671999999,3.2579375030000003e+44,3.3105903511795496e+43,1.8562548518268938e+43,1.085849238e+45,3.3038619634310928e+44,1.5936336131685943e+44,6.067941489,0.4114199489999999,0.4135046019999997,3.749672027e+44,9.63483035956626e+42,1.0675138972528932e+43,1.196891922e+45,3.426602225593768e+43,4.0896212183491157e+43
10,1eRASS J014005.5-341036,1562.0,25.03,-34.18,1311.0,0.4,57.0,3.1677842,-1.0,7.36,-1.0,462.355,426.232,499.445,5.468441602,1.7979998650000004,4.361643141,4.939221817000001e+44,4.928901088824167e+43,5.020736418011018e+43,1.4996415130000003e+45,4.8184030030199705e+44,2.5615029261839736e+44,6.165818457,0.3670650750000002,0.3678658269999992,5.356378108000001e+44,1.075290204319488e+43,1.3533870442490591e+43,1.7188279200000002e+45,5.05702731590363e+43,3.1786362212590307e+43
11,1eRASS J014456.1-530105,458.0,26.25,-53.02,1203.0,0.12,75.0,4.321021,4.94,3.83,9.01,149.468,142.462,156.426,4.055474981,0.9998293289999998,1.1160233690000003,1.436248445e+44,6.42985755083194e+42,4.926900777847672e+42,3.937156276e+44,4.3633178193250816e+43,4.270034645567105e+43,6.692508815,0.0876847009999997,0.0876530019999997,1.8851971690000004e+44,1.3648259090713899e+42,1.6157288220500206e+42,6.2240613500000004e+44,5.3355235029248596e+42,4.0793076255740313e+42
12,1eRASS J014041.8-543206,552.0,25.15,-54.51,844.0,0.1,58.0,2.9457066,-1.0,1.26,-1.0,20.706,18.071,23.565,1.310060307,0.2743938400000001,0.5858112209999999,5.237123730000001e+42,1.7372883786917898e+42,1.2265013580866099e+42,8.906950385000001e+42,2.36270852924074e+42,3.03698621729225e+42,3.372308889,0.12307368,0.1333959519999998,2.025910575e+43,2.4123442818934e+41,3.0465459946743e+41,5.209076963999999e+43,1.16155632350718e+42,1.2055959917254102e+42
13,1eRASS J015900.6-341307,76.0,29.77,-34.22,1328.0,0.4,138.0,4.823525,3.16,2.38,7.35,509.68,457.445,562.871,4.729883182,1.597816281,3.178455979,4.969240718000001e+44,3.634679451413639e+43,3.89623176460748e+43,1.425204087e+45,2.731748704874357e+44,2.0442166195918142e+44,7.52616718,0.170627885,0.1706858750000002,6.0476025939999995e+44,4.8907705595810596e+42,3.01098974543429e+42,2.0661290650000003e+45,1.8016678772285018e+43,1.3932229976049293e+43
14,1eRASS J021124.5-401725,3578.0,32.88,-40.3,939.0,0.12,27.0,1.9131109,-1.0,1.83,-1.0,34.714,31.92,37.627,2.443836631,0.5193385499999998,1.120515738,3.6470407859999997e+43,2.4712895532556098e+42,3.23480082614877e+42,8.184866577e+43,8.475660350538581e+42,1.3528637374185271e+43,2.259272848,0.042609472,0.042511363,5.050961404e+43,4.984414068406201e+41,5.0492495125417e+41,1.111176046e+44,1.17036266212049e+42,1.5180387058921698e+42
15,1eRASS J021714.8-524500,73.0,34.31,-52.76,1085.0,0.34,130.0,5.569202,-1.0,3.02,-1.0,151.271,125.394,179.162,1.916899595,0.432981561,1.054754787,1.288466052e+44,2.1250059786504898e+43,3.609146605628599e+43,2.563676679e+44,6.17034910892218e+43,7.873216333036176e+43,6.728069887,0.6564856140000002,1.0260377959999998,1.6029202920000002e+44,5.84673698466461e+42,5.98508363117343e+42,5.3020546939999995e+44,2.4562627325077564e+43,2.3294813447742944e+43
16,1eRASS J022553.0-415457,130.0,36.49,-41.88,1406.0,0.23,105.0,4.5064163,3.47,2.6,5.42,336.158,305.674,552.858,4.692174778,1.594089929,3.939810516,1.0210225690000002e+44,1.0896791852984632e+43,7.75932322735374e+42,2.942961065e+44,8.448658116805828e+43,5.981071476152211e+43,5.424621986,0.056497975,0.0937517169999999,4.072191436e+44,1.3081248773556701e+42,1.6828636614947002e+42,1.2536020690000003e+45,6.21568004070823e+42,6.02668238198143e+42
17,1eRASS J022729.3-405059,7901.0,36.87,-40.85,783.0,0.42,37.0,2.7849593,-1.0,2.3,-1.0,59.926,48.035,76.162,4.041712255,2.083770703,44.621315335,7.107380801e+43,6.713661814328212e+43,1.3909772647617382e+43,1.9143239130000003e+44,1.1381844936511458e+44,5.47153125466021e+43,3.244912128,0.451437158,0.681606076,4.934715201000001e+43,4.32092795195669e+42,4.075100732896551e+42,1.2486419609999999e+44,1.4299598345365521e+43,8.262870144440731e+42
18,1eRASS J022920.7-333210,1489.0,37.34,-33.53,950.0,0.1,45.0,2.6929505,1.55,1.42,2.21,34.188,31.638,36.777,3.2123779,0.6619761479999999,1.0866869350000004,3.3509940249999996e+43,2.1490187736404705e+42,2.5030433645102606e+42,8.378848505000001e+43,1.35243722564799e+43,9.028898096889939e+42,3.587557461,0.1656423179999997,0.1752920070000003,5.306868485000001e+43,1.0926349338404802e+42,1.0118826749014502e+42,1.3968299070000002e+44,3.53829169512071e+42,4.0385307652198995e+42
19,1eRASS J023032.4-602752,13148.0,37.64,-60.46,838.0,0.67,38.0,3.491371,-1.0,5.12,-1.0,222.555,174.803,287.94,2.529071778,0.8468747080000001,4.551703096000001,3.2069307850000004e+44,4.742691779202842e+43,7.024537303770819e+43,7.004341723e+44,1.338970327335043e+44,1.8286063785075637e+44,4.206986058,0.2519976480000001,0.374711832,2.860117499e+44,1.05844306674969e+43,9.39092125301914e+42,8.013281558e+44,3.2462986875310405e+43,2.1783338443537544e+43
20,1eRASS J023218.3-442048,234.0,38.0,-44.38,1429.0,0.28,117.0,6.6067247,-1.0,6.35,-1.0,689.466,654.639,726.127,5.467833383,1.000811896,1.5759615469999997,7.608622226e+44,2.7093576141554637e+43,1.9839703750000288e+43,2.319003548e+45,1.9460391016573308e+44,1.75063219792475e+44,6.200408535,0.0711393259999999,0.0712317719999999,8.734391158e+44,6.379245071550311e+42,6.632279052834491e+42,2.807767602e+45,1.718640049108774e+43,2.1574611189294241e+43
21,1eRASS J023259.7-581948,973.0,38.25,-58.33,1011.0,0.68,85.0,5.1273727,-1.0,3.26,-1.0,348.514,294.67,419.728,63.90346706,55.129543261,-63.90346706,1.7730074260000002e+44,1.7730074260000004e+44,3.6799792741182996e+44,8.498381906e+44,8.498381906e+44,1.7474403713308024e+45,5.574591694,0.3710912130000006,0.39546218,2.553868814e+44,3.5874626097280805e+42,7.219730631726909e+42,7.933503128e+44,2.637509291866065e+43,2.0891155430972516e+43
22,1eRASS J023419.1-095138,2271.0,38.58,-9.87,844.0,0.61,57.0,3.4906394,0.86,0.56,1.2,210.34,149.137,291.702,0.865911023,0.1078568229999999,0.1604949799999999,1.9432263119999998e+44,5.916045001606454e+43,4.579766071095722e+43,2.630748977e+44,9.134540769323608e+43,7.393694022277283e+43,3.213966591,1.403082284,4.908516105,3.1348416450000003e+44,1.4014319315544338e+44,6.514282858136209e+43,7.903453447999999e+44,3.8225730242470035e+44,2.007131776852865e+44
23,1eRASS J023442.4-583123,115.0,38.71,-58.51,1256.0,0.4,110.0,4.013619,-1.0,11.54,-1.0,424.992,395.701,457.765,11.08621165,4.666490415999999,27.23416078,4.674537458e+44,7.078232454566354e+43,3.654367801477088e+43,1.7487841990000003e+45,1.7487841988949063e+45,3.836891929563716e+44,5.419842271,0.1725834889999999,0.2458287719999994,6.1199868870000005e+44,8.733440030789079e+42,1.034624120014494e+43,1.8846775680000003e+45,4.2285020799088316e+43,2.4029563099522877e+43
24,1eRASS J023555.8-365640,38188.0,38.98,-36.94,714.0,0.32,21.0,2.4869006,-1.0,1.97,-1.0,31.495,22.804,41.079,11.08161315,8.665536811,-11.08161315,2.9593454449999997e+43,2.9593454449999997e+43,1.3467824381302353e+43,1.109441101e+44,1.1094411009925935e+44,8.795534664396057e+43,2.055472445,0.5057602369999998,1.103140758,3.782012868e+43,4.2407510515206704e+42,8.336282992856221e+42,8.019487311999999e+43,1.318054509537126e+43,1.6938248172270052e+43
25,1eRASS J024037.4-594604,348.0,40.16,-59.76,1128.0,0.4,80.0,3.7144537,-1.0,14.29,-1.0,205.277,182.295,226.915,63.98149204,40.53735599,-63.98149204,1.9725320349999998e+44,1.9725320349999998e+44,2.0955324633749966e+44,9.505692984e+44,9.505692984e+44,1.0030857970129783e+45,7.303089272,0.6679033959999998,0.5768550659999994,2.7508415339999998e+44,6.492585735089381e+42,8.54637678162397e+42,9.318364254e+44,2.986591605687747e+43,2.8359162231761238e+43
26,1eRASS J024122.2-283914,104.0,40.35,-28.65,1269.0,0.24,111.0,5.2532487,-1.0,2.57,-1.0,222.37,201.805,248.793,2.831754167,0.6251960270000003,1.015951899,1.8207832450000003e+44,9.971284725080562e+42,1.2419674255454912e+43,4.295591290000001e+44,5.912277201291722e+43,6.491167062241938e+43,6.070788883,0.2419503909999996,0.2422449430000002,2.6228488620000003e+44,3.26387164729376e+42,3.3833690056047704e+42,8.363049086000001e+44,1.3502291800011561e+43,1.5230605935972048e+43
27,1eRASS J024235.9-213225,4588.0,40.7,-21.57,1462.0,0.32,56.0,5.960147,6.5,4.44,7.87,616.444,566.308,687.631,4.527308809,0.768421172,1.274493036,7.412012858e+44,3.0646037577677227e+43,4.292574718746804e+43,2.0989520780000003e+45,2.7877637526877418e+44,2.155631417742716e+44,4.600660095,0.0403526330000003,0.0404560199999997,9.348710670000001e+44,2.10638237985798e+42,3.2486072635284504e+42,2.706258281e+45,1.1354417170875778e+43,1.2244819675208678e+43
28,1eRASS J024339.2-483339,37.0,40.91,-48.56,1248.0,0.5,139.0,4.2429137,-1.0,5.32,-1.0,521.38,469.682,587.74,18.7825382,12.172023031000002,-18.7825382,5.6527668330000005e+44,5.652766833e+44,6.002887506797333e+43,2.332870602e+45,2.332870601790048e+45,3.234319350176849e+44,6.068395064,0.2246628709999996,0.2261685980000001,6.574686617e+44,1.1118972594121219e+43,7.017488801696791e+42,2.098485905e+45,3.9424969732697426e+43,5.140721426500311e+43
29,1eRASS J024409.0-261049,871.0,41.09,-26.24,1047.0,0.15,66.0,3.4275289,-1.0,2.58,-1.0,61.581,56.312,66.423,2.100055376,0.3363599509999997,0.6036237620000002,3.748454297e+43,2.91239835430387e+42,4.5661879342003504e+42,7.893199755999999e+43,1.0304393501438762e+43,1.0639040269811752e+43,3.348356089,0.0621122520000003,0.0621686229999998,5.693270516e+43,3.247678843467901e+41,4.372364765047601e+41,1.4590363500000003e+44,1.76741022108939e+42,1.6196067199757798e+42
30,1eRASS J024530.5-530211,8.0,41.35,-53.03,1334.0,0.3,151.0,4.1413856,7.76,5.39,16.81,434.63,408.829,463.058,4.825688542,1.1511422210000002,1.6232127189999996,5.103622523e+44,2.2219463378267304e+43,2.4104233864914383e+43,1.4808561460000002e+45,2.050665177952829e+44,1.6027926950437592e+44,8.352054588,0.2747270139999997,0.2958754490000004,5.585214305000001e+44,6.777444371691839e+42,4.0919183274003904e+42,1.969136973e+45,2.812862318917064e+43,2.098564403999708e+43
31,1eRASS J025353.3-604637,35.0,43.46,-60.78,715.0,0.45,25.0,5.0951715,-1.0,1.61,-1.0,44.11,28.895,63.434,2.192394113,0.6930650750000003,9.857538157,2.977601381000001e+43,2.977601381000001e+43,1.0701617580709412e+43,6.248336013999999e+43,6.248336013273569e+43,4.953759085034957e+43,4.069441033,0.9633817120000004,1.292022642,4.3052231820000003e+43,5.0722673680532896e+42,5.95149076210316e+42,1.189871599e+44,2.278414976064095e+43,1.7003854631085651e+43
32,1eRASS J025418.0-585646,1.0,43.56,-58.95,1298.0,0.43,222.0,5.712534,-1.0,4.49,-1.0,527.456,483.61,579.442,3.723465311,1.00108929,1.6253206670000004,4.6634494079999995e+44,3.5128708138960293e+43,5.355031736205871e+43,1.2137296640000002e+45,2.33886643222092e+44,1.7969260125317546e+44,7.467586635,0.1917231169999995,0.1918808700000003,5.5895442810000005e+44,8.953030481357771e+42,7.971828689568139e+42,1.90534368e+45,2.5715608068395165e+43,4.780214024562826e+43
33,1eRASS J025419.7-605201,18.0,43.59,-60.87,1041.0,0.45,156.0,4.9382305,-1.0,1.78,-1.0,171.979,145.408,202.614,22.1305839,16.974686481,-22.1305839,1.4069769419999999e+44,1.4069769419999999e+44,3.5482607450972396e+43,5.9800019349999996e+44,5.9800019348694284e+44,2.6486278192301406e+44,5.685572717,0.5720203230000003,0.6818186809999993,1.569950193e+44,5.0079412817714106e+42,5.5095058089346505e+42,4.907660515000001e+44,2.657232590710484e+43,2.0209495701432087e+43
34,1eRASS J025708.9-232602,259.0,44.29,-23.43,1310.0,0.5,102.0,4.598015,5.17,3.09,13.34,699.354,629.053,778.141,6.497213723,2.432394095,7.364466017,6.7491981289999994e+44,6.243280872716546e+43,7.135757334376879e+43,2.1603424540000002e+45,5.1673772297648126e+44,2.6060308607836616e+44,7.071690023,0.2032926400000008,0.2034615049999999,8.397647533e+44,6.204017573381131e+42,6.160653641849299e+42,2.8198125689999996e+45,3.08519443076656e+43,2.997619604543484e+43
35,1eRASS J030416.4-440155,51.0,46.07,-44.03,1218.0,0.45,138.0,5.6269073,6.16,2.99,8.59,412.075,369.013,460.44,3.431431111,0.7843567960000004,1.4328142239999997,4.96797173e+44,3.3310386665111157e+43,3.5644553668767336e+43,1.251435953e+45,1.5533848807702303e+44,1.5342013617397727e+44,5.941841406,0.2351597469999999,0.2371883050000001,5.514335937000001e+44,4.59964045997811e+42,7.806075644731259e+42,1.7479317160000003e+45,2.7416559945362417e+43,3.186812465420888e+43
